Area,AspectRatio,Diameter,MeanGrey,StageX,StageY,O,Mgx,Alx,Si,S,Cax,Ti,Mn,Fe,Mg,Al,Ca
0.09205039,1.414207,0.3423481,122,0.514282,0.66601,10.50012,2.948143,6.215613,0.169227,1.167747,0,0,5.857021,73.14212,0.344288952,0.655711048,0
0.2071134,1.483348,0.5135221,106.4444,0.660874,0.63129,12.37105,4.404416,8.202726,0,0.4095202,0.167184,0,4.719464,69.72565,0.369632102,0.621861326,0.008506573
0.1610882,1.201848,0.4528839,127.1429,0.69162,0.61452,11.1235,3.548844,6.544989,0.2026197,0.2006274,0,0.1984295,7.130212,71.05077,0.375093229,0.624906771,0
0.2531386,1.412122,0.5677201,86.90909,0.819236,0.67846,14.91703,5.142008,9.668102,0.05856432,0,0.05846115,0,8.109169,62.04667,0.369633701,0.627818385,0.002547914
0.1380756,2.046371,0.419289,92.66666,0.822179,0.54435,18.06904,5.93156,12.13525,0.01690732,1.005313,0.1032208,0,9.272159,53.46655,0.349811064,0.646498222,0.003690714
0.115063,1.80278,0.3827568,116.4,0.991824,0.55932,10.63258,3.479191,7.198184,0.1164032,0,0.1484548,0,7.009335,71.41586,0.34544413,0.645619269,0.008936601
0.3682016,1.34132,0.6846961,107.125,1.143742,0.63321,14.86081,5.007473,9.762918,0.2107831,0.005838511,0,0,6.060917,64.09126,0.362158006,0.637841994,0
0.09205039,1.414207,0.3423481,101,1.179674,0.62613,16.28388,5.503297,11.50467,0.02686632,0.01420304,0,0,5.323772,61.34331,0.34620659,0.65379341,0
0.09205039,1.802734,0.3423481,126,1.201291,0.60027,15.31932,4.667695,10.73354,0.1870089,0,0.08426299,0,8.204152,60.80402,0.32381088,0.672645033,0.003544087
0.1841008,1.369882,0.4841533,86.375,1.13509,0.57984,18.48007,5.854564,11.32546,0.3064332,0.2902314,0,0.07626791,7.506188,56.16078,0.363968255,0.636031745,0
0.1380756,1.802771,0.419289,120,1.266817,0.64893,10.44981,3.751611,7.068621,0.4630645,0.01301834,0.01827913,0,7.347608,70.88799,0.369685978,0.629221955,0.001092067
